Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Dividend Yield,Sector,Industry,About
INDOTHAI,1501,4.41,41,07-Jan-25,Equity,"? 1,957 Cr.",140,25.90%,32.50%,0.08%,Stock/ Commodity Brokers,Finance & Investments,"Incorporated in 1995, Indo Thai Securities
Ltd is in the business as stock and share brokers[1]"
INDRAMEDCO,566.5,8.12,45,07-Jan-25,Equity,"? 3,605 Cr.",23.8,29.10%,38.40%,1.14%,Healthcare,Healthcare,"Incorporated in 1988 as a JV between Apollo Hospitals Enterprise Ltd. (AHEL) and the Delhi Government, Indraprastha Medical Corporation Ltd. is a super speciality tertiary care hospital in New Delhi. The Co. currently has 52 speciality departments."
IPCALAB,1737,1.05,44,07-Jan-25,Equity,"? 37,140 Cr.",44.8,9.81%,14.20%,0.27%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,Ipca Laboratories is engaged in the manufacturing and marketing of pharmaceuticals.(Source : 201903 Annual Report Page No: 68)
ITI,489.95,-9.99,41,07-Jan-25,Equity,"? 25,997 Cr.",Book Value,-27.80%,-8.43%,0.00%,Aerospace & Defence,Telecommunications - Equipment,"ITI Limited is engaged in manufacturing, trading and servicing of telecommunication equipment, and rendering other associated and ancillary services. The Company focuses on offering telephone communication services."
ITTL,25.95,4.85,41,07-Jan-25,SME,? 28.2 Cr.,Book Value,%,-26.60%,0.00%,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]"
JINDWORLD,443.9,6.73,44,07-Jan-25,Equity,"? 7,257 Cr.",94.9,10.30%,9.74%,0.06%,Textiles,Textiles - Products,"Jindal Worldwide Ltd is engaged in the Textiles Sector and the main business activities are related to the manufacturing of Denim fabric, premium shirtings, yarn dyeing, bottom weights and home textiles through its various internal divisions"
KIMS,647,2.62,41,07-Jan-25,Equity,"? 23,262 Cr.",90.3,13.40%,16.90%,0.00%,Healthcare,Healthcare,"Krishna Medical Institution Ltd (KIMS) was Incorporated in the year 1973 and is one of the largest corporate healthcare groups in Andhra Pradesh and Telangana in terms of patients treated and treatments offered. The company offers multidisciplinary healthcare services with primary, secondary, and tertiary care across 2-3 tier cities and an additional quaternary healthcare facility in tier-1 cities."
KINGFA,3854.05,9.81,44,07-Jan-25,Equity,"? 3,359 Cr.",23.2,23.20%,30.10%,0.36%,Plastic products,Plastics Products,"Kingfa Science & Technology (India) Limited, a subsidiary company of M/s Kingfa Science & Technology Co. Ltd China, is engaged in the business of manufacturing and supply of high-quality modified plastic compounds for automotive and consumer products and personal protective equipments like masks and gloves."
LAURUSLABS,611.9,2.06,45,07-Jan-25,Equity,"? 29,449 Cr.",118,5.43%,7.50%,0.15%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Founded in 2005, Laurus Labs is a research-driven pharmaceutical and biotechnology company having a global leadership
position in select Active Pharmaceutical Ingredients (APIs) including anti-retroviral, oncology drugs (incl High Potent APIs), Cardiovascular, and Gastro therapeutics. They also offer integrated CMO and CDMO services to Global Innovators from Clinical phase drug development to commercial manufacturing.
Laurus employs 6500+ people, including around 1050+ scientists at more than 11 facilities approved by global agencies USFDA, WHO-Geneva, Japan-PDMA, UK-MHRA, EMA, TGA etc."
MAZDA,1750,13.53,389,07-Jan-25,Equity,? 499 Cr.,17.4,15.90%,21.30%,1.28%,Capital Goods-Non Electrical Equipment,Engineering,"Mazda Limited, incorporated in 1990, is engaged in the business of manufacturing Engineering goods like Vacuum Products, Evaporators, Pollution Control Equipments and Manufacturing of Food Products like Food colour, Various Fruit Jams & Fruit mix Powders etc."
MHHL,71,10.59,393,07-Jan-25,SME,? 109 Cr.,10.5,11.10%,14.50%,0.84%,Healthcare,Healthcare,"Incorporated in 2009, Mohini Health and Hygiene Ltd is in the business of healthcare and hygiene products[1]"
